"variable","label","class"
"u30","In the last 12 months, has any doctor talked to you about alcohol use?","haven_labelled"
"u31","In the last 12 months, has any doctor talked to you about tobacco use?","haven_labelled"
"u32","Have you sought a health service to get an appointment related to your health in","haven_labelled"
"u33","Where did you first seek health care in the last 2 weeks?","haven_labelled"
"u34","Were you taken care of the first time you sought care in this health service in","haven_labelled"
"u35"," What was the reason for not being taken care of the first time you sought care","haven_labelled"
"u36","In this latest appointment, within the last 2 weeks, was any medication prescrib","haven_labelled"
"u37","Were you able to get all the medications that were prescribed to you on your lat","haven_labelled"
"u38","Why didnâ€™t you get all the medications that were prescribed to you","haven_labelled"
"u39","Did you get for free any of the medications that were prescribed to you on your","haven_labelled"
"u40","Would you recommend to someone else the professionals of the health service used","haven_labelled"
"u41","In general, what displeases you most when you need health services?","haven_labelled"
"u42","In the last 12 months,have you been admitted to a hospital for 24 hours or more?","haven_labelled"
"u43","In the last 12 months, how many times have you been hospitalized?","haven_labelled"
"u44","In this latest hospitalization, for how many days did you stay in the hospital?","haven_labelled"
"u45","Would you recommend to someone else the doctors or professionals from the hospit","haven_labelled"
"u46","After your latest hospitalization, did your doctor or the health service you usu","haven_labelled"
"u47","In the last 12 months, have you received urgent care at home?","haven_labelled"
"u48","In the last 12 months, how many times have you received urgent care at home?","haven_labelled"
"u49","In the last 12 months, have you sought urgent care?","haven_labelled"
"u50","Where did you seek this urgent care?","haven_labelled"
"u50_1","In the last 90 days, have you had any medical appointments?","haven_labelled"
"u50_2","In the last 90 days, how many medical appointments have you had?","haven_labelled"
"u51","In the last 90 days, have you paid for any medical appointments?","haven_labelled"
"u52","In the last 90 days, how much have you spent in total with medical appointments?","haven_labelled"
"u53","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u53_1","In the last 90 days, have you had any dental appointments?","haven_labelled"
"u53_2","In the LAST 90 DAYS, how many dental appointments have you had?","haven_labelled"
"u54","In the last 90 days, have you paid any dental appointment/treatment?","haven_labelled"
"u55","In the last 90 days, how much have you spent in total with dental appointments/t","haven_labelled"
"u56","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u57","In the last 90 days, have you had expenditures with hospitalization?","haven_labelled"
"u58","In the last 90 days, how much have you spent in total with hospitalizations?","haven_labelled"
"u59","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u59_1","In the last 90 days, have you had any appointments/treatments with a physical th","haven_labelled"
"u59_2","In the last 90 days, how many appointments with a physical therapist have you ha","haven_labelled"
"u60","In the last 90 days, have you paid for any appointments/treatments with a physic","haven_labelled"
"u61","In the last 90 days, how much have you spent in total with appointments/treatmen","haven_labelled"
"u62","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u62_1","In the last 90 days, have you had any appointments with an occupational therapis","haven_labelled"
"u62_2","In the last 90 days, how many appointments with an occupational therapist have y","haven_labelled"
"u63","In the last 90 days, have you paid for any appointments/treatments with an occup","haven_labelled"
"u64","In the last 90 days, how much have you spent in total with an occupational thera","haven_labelled"
"u65","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u65_1","In the last 90 days, have you had any appointments with a speech therapist?","haven_labelled"
"u65_2","In the last 90 days, how many appointments with a speech therapist have you had?","haven_labelled"
"u66","In the last 90 days, have you paid for any appointments/treatments with a speech","haven_labelled"
"u67","In the last 90 days, how much have you spent in total with a speech therapist?","haven_labelled"
"u68","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u68_1","In the LAST 90 DAYS, have you had any appointments with a psychologist?","haven_labelled"
"u68_2","In the last 90 days, how many appointments with psychologist have you had?","haven_labelled"
"u69","In the last 90 days, have you paid for any appointments/treatments with a psycho","haven_labelled"
"u70","In the last 90 days, how much have you spent in total with a psychologist?","haven_labelled"
"u71","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u71_1","In the last 90 days, have you been cared for by a caregiver or a nursing assista","haven_labelled"
"u71_2","IN THE LAST 90 DAYS, how many days have you been cared for by these professional","haven_labelled"
"u72","In the last 90 days, have you had expenditures with caregivers or a nursing assi","haven_labelled"
"u73","In the last 90 days, how much have you spent in total with caregivers or a nursi","haven_labelled"
"u74","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u75","In the last 90 days, have you had expenditures with lab exams or imaging exams o","haven_labelled"
"u76","In the last 90 days, how much have you spent in total with lab exams or imaging","haven_labelled"
"u77","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u77_1","In the last 90 days, have you had any appointments with a nutritionist?","haven_labelled"
"u77_2","In the last 90 days, how many appointments with a nutritionist have you had?","haven_labelled"
"u78","In the last 90 days, have you paid for any appointments/treatments with a nutrit","haven_labelled"
"u79","In the last 90 days, how much have you spent in total with a nutritionist?","haven_labelled"
"u80","What is the range that best represents the amount paid in the last 90 days?","haven_labelled"
"u81","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"mf1","Give permission to perform some physical measurements?","haven_labelled"
"mf2","Interviewer: Which arm will the measurement be performed on?","haven_labelled"
"mf9","Average Systolic Blood Pressure","haven_labelled"
"mf10","Average Diastolic Blood Pressure","haven_labelled"
"mf10_1","Average Pulse","haven_labelled"
"mf13","Average height","haven_labelled"
"mf14","Can you tell me your height?","haven_labelled"
"mf15","Please tell me your height","haven_labelled"
"mf17m","Average waist circumference","haven_labelled"
"mf19m","Average hip circumference","haven_labelled"
"mf22","Average weight","haven_labelled"
"mf23","Can you tell me your weight?","haven_labelled"
"mf24","Please tell me your weight","haven_labelled"
"mf25","In the last 3 months, have you had any surgery performed on the dominant arm or","haven_labelled"
"mf26","Hand used in the test","haven_labelled"
"mf27","First measurement - Handgrip strength","haven_labelled"
"mf28","Second measurement - Handgrip strength","haven_labelled"
"mf29","Third measurement - Handgrip strength","haven_labelled"
"mf30","Balance test: feet side by side","haven_labelled"
"mf31","Balance test: one foot a little ahead of the other","haven_labelled"
"mf32","Balance test: one foot behind the other","haven_labelled"
"mf35s","Walking test: first measurement (in seconds)","haven_labelled"
"mf38s","Walking test: second measurement (in seconds)","haven_labelled"
"mf39","Interviewer: Did the respondent use any device or support instrument to perform","haven_labelled"
"ci1","Interviewer: Have any part or all of the questionnaire been answered by a proxy","haven_labelled"
"ci3","Age of the proxy","haven_labelled"
"ci4","Sex of the proxy","haven_labelled"
"ci5","Education (highest grade) of the proxy","haven_labelled"
"ci6","What is the family relationship between the proxy and the respondent?","haven_labelled"
"ci7","Does the proxy live with the respondent?","haven_labelled"
"ci8","How long have the proxy been living with the respondent?","haven_labelled"
"ci9","For how long have the proxy known the respondent?","haven_labelled"
"house_income","Monthly household income","numeric"
"house_income_pc","Monthly household income per capita","numeric"
"ind_income","Monthly participant income","numeric"
"assets","Assets","numeric"
