"variable","label","class"
"f18","Would you like to move away due to the violence?","haven_labelled"
"f19","Would you like to move away to have better access to services?","haven_labelled"
"f20","Would you like to move away to be closer to family or to the work place?","haven_labelled"
"f20_1","Would you like to move away due to any other reason not mentioned?","haven_labelled"
"f21","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"g1","Do you know or have you heard about the Statute of the Elderly?","haven_labelled"
"g2","In your opinion, do you think that the Statute of the Elderly is respected in Br","haven_labelled"
"g3_1","Is there discrimination related to elderly people?","haven_labelled"
"g3_2","Is there discrimination related to people with physical/mentaldisability?","haven_labelled"
"g3_3","Is there discrimination related to people of another religion or belief?","haven_labelled"
"g3_4","Is there discrimination related to people's skin color?","haven_labelled"
"g3_5","Is there discrimination related to poor people","haven_labelled"
"g3_6","Is there discrimination related to homosexuals/bisexuals","haven_labelled"
"g3_7"," Compared to other people, are you treated with less courtesy or respect?","haven_labelled"
"g3_8"," Compared to other people, do you receive worse services in restaurants or store","haven_labelled"
"g3_9"," Do people act as if you are less smart?","haven_labelled"
"g3_10"," Do people act as if they are afraid of you?","haven_labelled"
"g3_11"," Do you feel threatened or harassed?","haven_labelled"
"g3_12"," Compared to other people, do you receive poorer quality medical or hospital tre","haven_labelled"
"g3_13_1"," Did these experiences happen to you due to your nationality?","haven_labelled"
"g3_13_2"," Did these experiences happen to you due to your gender (being male or female)?","haven_labelled"
"g3_13_3"," Did these experiences happen to you due to your skin color/race or ethnicity?","haven_labelled"
"g3_13_4","Did these experiences happen to you due to your age?","haven_labelled"
"g3_13_5","Did these experiences happen to you due to  your religion?","haven_labelled"
"g3_13_6","Did these experiences happen to you due to your weight?","haven_labelled"
"g3_13_7","Did these experiences happen to you due to some physical limitation/problem?","haven_labelled"
"g3_13_8","Did these experiences happen to you due to your physical appearance?","haven_labelled"
"g3_13_9","Did these experiences happen to you due to your sexual orientation?","haven_labelled"
"g3_13_10","Did these experiences happen to you due to your economic condition?","haven_labelled"
"g3_13_11","Did these experiences happen to you for another reason?","haven_labelled"
"g4_1","Have you felt a victim of any kind of discrimination when you sought medical ser","haven_labelled"
"g4_2","Have you felt a victim of any kind of discrimination in social gatherings?","haven_labelled"
"g4_3","Have you felt a victim of any kind of discrimination in the work place?","haven_labelled"
"g4_4","Have you felt a victim of any kind of discrimination within the family?","haven_labelled"
"g4_5","Have you felt a victim of any kind of discrimination due to place where you live","haven_labelled"
"g5","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"h1","Were you living with your own family when you were 10 years old?","haven_labelled"
"h2","Where were you living when you were 10 years old?","haven_labelled"
"h3","How many bedrooms were there in your home when you were 10 years old?","haven_labelled"
